post_id,content,indexed_at,tagged_users,tag_count,user_id
0RDV7ABDZDW0,Julian Assange is free,1719308315917,[],0,pxnu33x7jtpx9ar1ytsi4yxbp6a5o36gwhffs8zoxmbuptici1jy
0RDVFKFBB48G,Hodl! We will implement a mute feature! ����,1719326107982,['o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo'],1,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RDVNHC21YE0,Who are you and why am I following you sir,1719338851766,[],0,kt1ujy3zxs1tpxsxrqkdpmon5co959paiknw1s4r1rf1gsnqxnao
0RDXNWJHTCAG,https://media4.giphy.com/media/v1.Y2lkPTc5MGI3NjExZHBieWg3eGpyOGwycTc3aTBkZW5wcTE5czRsbnhuMGoyMml2aGtpaSZlcD12MV9pbnRlcm5hbF9naWZfYnlfaWQmY3Q9Zw/VbQfgkDtYUin6/200.webp,1719477042533,[],0,kt1ujy3zxs1tpxsxrqkdpmon5co959paiknw1s4r1rf1gsnqxnao
0RDXNZC0B0JG,2?,1719477230131,[],0,hy1njbk65oh5jqdmq37rdh9xfmxojmn1jn93o7zuka5kx59fdd3o
0RDXQNVBFECG,Hawk.,1719480886197,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RDXQPCD7SRG,:+1:,1719480921964,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RDXQPTW0WCG,Hai Romania! ��������,1719480952293,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RDXQY80PA1G,When dropzone JS for quick image sharing?,1719481449624,[],0,hy1njbk65oh5jqdmq37rdh9xfmxojmn1jn93o7zuka5kx59fdd3o
0RDXR8KKERFG,My posts keep disappearing? ,1719482145011,[],0,hy1njbk65oh5jqdmq37rdh9xfmxojmn1jn93o7zuka5kx59fdd3o
0RDXRA0GWSZG,I'm being censored!,1719482239215,[],0,hy1njbk65oh5jqdmq37rdh9xfmxojmn1jn93o7zuka5kx59fdd3o
0RDXRNQDCGDG,1st amendment! ,1719483025417,[],0,zhf4kyfkt87m4cajm3bjikt4k3jjb3ene7rbxehgi1wz1a77t9co
0RDXRNYTJS00,1st amendment,1719483040962,[],0,zhf4kyfkt87m4cajm3bjikt4k3jjb3ene7rbxehgi1wz1a77t9co
0RDXRPC82XG0,1st amendment,1719483069110,[],0,zhf4kyfkt87m4cajm3bjikt4k3jjb3ene7rbxehgi1wz1a77t9co
0RDXX1QHWJDG,"Even though it's likely most will use A more frequently, B is still useful for creating a new post, wherever you are on the platform. So, even when looking at your settings, profile, search results, etc, you can start creating a new post.",1719492420,[],0,4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro
0RDY1Y34YPHG,undefined,1719502914,[],0,4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro
0RE0M0RHQT8G,���� 1:0 ���� @Flavio ;),1719679187,[],0,kt1ujy3zxs1tpxsxrqkdpmon5co959paiknw1s4r1rf1gsnqxnao
0RE1V16V88X0,"New bio

https://primal.net/e/note1hlf7hw283sdgaj7nw0wa50gf6myupvxtt68zxzcptyx0xsspkxxsxhav76",1719762968,[],0,pxnu33x7jtpx9ar1ytsi4yxbp6a5o36gwhffs8zoxmbuptici1jy
0RE39TSPQMWG,a,1719863470,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE39VTJCWC0,a,1719863539,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE39WFWAQT0,b,1719863583,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE3WS2NPCP0,playing with pubky,1719904157,['77m8jyqqrd41xzu5b67m8z5wuypuatc54gmw5gcax6ae3yeca6wo'],1,77m8jyqqrd41xzu5b67m8z5wuypuatc54gmw5gcax6ae3yeca6wo
0RE3Z8XXJNH0,"Everyone who ever was the job market should watch this ����
https://youtu.be/YSs5Qp5JbXs?si=1ZaWsyvkR3I_JRAo",1719909515,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE3ZAZ1JQFG,wen answer?,1719909652,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE3ZCC1Z0KG,"Bitkit Native Rewrite has officially started. Stay tuned for the real deal, we shall conquer the Lightning UX.

Go Bitkit devs ������������, nothing can stop us now.",1719909746,['hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty'],1,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE3ZD46ZB3G,"Behold, the nativenning is nigh, and Jay ain't joking around!
https://github.com/synonymdev/bitkit-ios/pull/1/files",1719909797,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE3ZFSZTSC0,Plebtest. Y my posts are disappearing? NOOOOOEEEEESSSSSS,1719909977,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE42ZVNPZG0,antonym ����,1719917497,[],0,uudfeafc1c6dhxxnaiyuzsy3yy79i1ikpb8syht46qpnx4ksi6ho
0RE436QCV2G0,PrivKy,1719917957,[],0,uudfeafc1c6dhxxnaiyuzsy3yy79i1ikpb8syht46qpnx4ksi6ho
0RE44D86DRRG,42,1719920543,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4ACZ9Q0HG,a,1719933409,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4AF33SW10,d,1719933551,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4B649XN3G,"#hastag #verbose
",1719935097,[],0,uudfeafc1c6dhxxnaiyuzsy3yy79i1ikpb8syht46qpnx4ksi6ho
0RE4B9R858RG,Help!,1719935340,[],0,hy1njbk65oh5jqdmq37rdh9xfmxojmn1jn93o7zuka5kx59fdd3o
0RE4CYTZ7YN0,test 3,1719938903,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4CZ42R3CG,test 4,1719938922,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4CZY7FFZG,test 5,1719938977,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4D7VRD83G,test,1719939509,[],0,h3fghnb3x59oh7r53x8y6a5x38oatqyjym9b31ybss17zqdnhcoy
0RE4DDJ3XHKG,test 3,1719939891,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4DE8TZ4Q0,test,1719939939,[],0,h3fghnb3x59oh7r53x8y6a5x38oatqyjym9b31ybss17zqdnhcoy
0RE4DF1KXMQ0,test,1719939991,[],0,pxnu33x7jtpx9ar1ytsi4yxbp6a5o36gwhffs8zoxmbuptici1jy
0RE4DF6HRD20,new test post,1719940001,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4DGDHP0P0,hghjghjgj,1719940083,[],0,h3fghnb3x59oh7r53x8y6a5x38oatqyjym9b31ybss17zqdnhcoy
0RE4DNDBXSD0,posting on production,1719940418,[],0,o1gg96ewuojmopcjbz8895478wdtxtzzuxnfjjz8o8e77csa1ngo
0RE4DYC0BVN0,test,1719941019,[],0,pxnu33x7jtpx9ar1ytsi4yxbp6a5o36gwhffs8zoxmbuptici1jy
0RE51NMRZAQG,hey hey heyyy!!! ����,1719983383,[],0,7oq5wj1adxk1u94ojh6eknwj3b4z88zcbb51dbam5zn7zeqnzoio
0RE51RE8RBYG,whaatsssUUppp,1719983571,[],0,uudfeafc1c6dhxxnaiyuzsy3yy79i1ikpb8syht46qpnx4ksi6ho
0RE51S21S6PG,hello hellooo,1719983612,[],0,uudfeafc1c6dhxxnaiyuzsy3yy79i1ikpb8syht46qpnx4ksi6ho
0RE5A8J4JBC0,warming the events,1720001832,[],0,uudfeafc1c6dhxxnaiyuzsy3yy79i1ikpb8syht46qpnx4ksi6ho
0RE6H5Q7YEA0,True love.,1720085394,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE6HA9J8DT0,"It is now possible to require eSignature in Google Docs.

GG DocuSign.
You had a good run.

#rip",1720085701,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE6HCGAKWY0,Fire in the hole!,1720085849,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE6HD1Q5HW0,Test,1720085885,[],0,kt1ujy3zxs1tpxsxrqkdpmon5co959paiknw1s4r1rf1gsnqxnao
0RE6HF3ZQCA0,"@Flavio Moceri

When CMD+ENTER sir?",1720086024,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE6JBGJ2W8G,"BREAKING: Proton Docs has LANDED ������������ 

https://proton.me/blog/docs-proton-drive",1720087930,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
0RE72VE7MCRG,"Dammit Zuck is cool AF!

https://x.com/greg16676935420/status/1808906173598629926",1720123358,[],0,hs8iszgmxharf4omxwr7zej196zr4rs4a53ks4tg1ya1efejupty
