user_id,post_id,interaction_type
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z9P8AN738C00,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z9P8AN738C00,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z9P8AN738C00,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z9P8AN738C00,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z1NJPW2QHGG0,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z1NJPW2QHGG0,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z1NJPW2QHGG0,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z1NJPW2QHGG0,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z1NJPW2QHGG0,TAGGED
4snwyct86m383rsduhw5xgcxpw7c63j3pq8x4ycqikxgik8y64ro,2Z1NJPW2QHGG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X7Y00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X8C00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X8C00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X8C00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X8C00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X8C00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X8C00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X7Y00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56W3ZG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WN8G0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WVEG0,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56WVEG0,TAGGED
